trajectory_id,scenario_id,spatial_pattern,coalition_size,profile_id,forecast_cv,penalty_to_export_value_ratio,control_id,control_role,beta,q_mode,method_id,interval_count,mean_selected_gamma,externality_interval_share,productive_high_request_interval_share,mean_private_utility_gain_mw_equivalent,mean_coalition_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_coalition_idle_award_mw,mean_reported_total_idle_award_mw,mean_request_attenuation_mw,mean_redistribution_mw,mean_jain_norm_change,terminal_mean_score,externality_gate_interval_share,replay_attempt_rate,replay_valid_rate,mean_replay_outsider_allocation_gain_mw,mean_replay_outsider_delivery_gain_mw,mean_replay_total_delivery_gain_mw,mean_replay_redistribution_mw,solver_pass_rate,ac_numerical_pass_rate,matched_q_pair_pass_rate,maximum_loading_ratio,minimum_voltage_pu,maximum_mva_excess,unique_request_solve_count,trajectory_hash
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::max_export_lp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_025,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.25,Q0,max_export_lp,16,1.4,0.0625,0.1875,0.0034100404289134235,0.0034100404289134235,0.006538529727787614,-0.0031284892988741597,0.0043095793811209065,0.0028959299894167944,0.1072364656220894,0.027498023182858475,0.012316105520838685,-0.0023118151118214428,0.8804656850022728,1.0,1.0,1.0,0.04494453896596741,0.04185119115091184,0.041851191150225925,0.07609050229437136,1.0,1.0,1.0,0.9090909121749873,0.95789567182223,0.0,118,92F8AC5AF8E529FF64943C9585A17F45F1DBD7BFA60A0DB0908FCA11E4BB8595
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::max_export_lp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_050,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.5,Q0,max_export_lp,16,1.4,0.0625,0.25,0.002835122205733188,0.002835122205733188,-0.0004941070023531497,0.0033292292080863567,0.003919444425935545,0.0004682642555137355,0.07743130224642436,0.07590215493965145,0.037200726878331786,0.004832325345758184,0.8704431915283203,1.0,1.0,1.0,0.033191080435355264,0.031805800766676426,0.031805800764345735,0.05531119134205517,1.0,1.0,1.0,0.9090909123897921,0.9575978871039941,0.0,118,4C7099F60C0E1BAE437333DDB84FAC78A4C4A709C0D04E000FB0E5D531ACA9C7
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::max_export_lp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_100,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,1.0,Q0,max_export_lp,16,1.4,0.125,0.0625,0.001807312499993983,0.001807312499993983,0.018186064013792816,-0.016378751513798806,0.01753386635017623,0.008434124999991098,0.08733021943755082,0.09042586874999999,0.05246336752974808,-0.0016893491141836761,0.91,1.0,1.0,1.0,0.03710277866143325,0.036116622910174666,0.03611662290905236,0.06221649905005318,1.0,1.0,1.0,0.9090909242706579,0.9574792667933555,0.0,118,90CC5156A0B61D63172DC7D45CCE83E7336CD862F8C32DFEC81A8DFD4A4EEA8D
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::max_export_lp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,EQUAL_ATTENUATION_UNIFORM_CONTROL,,Q0,max_export_lp,16,1.4,0.25,0.0,0.0049645087575598944,0.0049645087575598944,0.027918461312344,-0.022953952554784107,0.022953952554784107,0.015052230224169818,0.10693235585117883,0.07590215493965141,0.045216507103370725,0.0017502818564084296,0.7151295683574792,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909090624353,0.9577837895069332,0.0,118,363465FB4462A172BA7F7A40D343E3CFE2C52207F0E0CC3E97E9F4E90F3B4ADA
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q0::fairness_qp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,NO_FEEDBACK,PENALTY_ONLY_BEHAVIORAL_REQUEST,0.0,Q0,fairness_qp,16,1.7,0.375,0.3125,0.008970620081102589,0.008970620081102589,0.010811751240135024,-0.0018411311590324497,0.004399528138635547,0.009695270611584574,0.08541382970259831,0.0,0.01643804007676706,-0.004880220057743245,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.909090906833971,0.9578265459669077,0.0,114,E06F201C9DC89DE4F74BE36D3751A9A1ABB83250AC9C8F65FD218DACB32AAF94
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q0::fairness_qp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,DELIVERY_RATIO_CF_BETA_050,DELIVERY_ONLY_RATIO_FILTER_ABLATION,0.5,Q0,fairness_qp,16,1.7,0.0,0.6875,0.008513585001118037,0.008513585001118037,0.00681323945642579,0.0017003455446922139,0.0014045444102058768,0.003941081284549033,0.08063665800597247,0.00820393858212444,0.010844663166842338,-0.0028076029514897197,0.9697887019423143,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909182964071,0.9577170272392143,0.0,114,DB344C1DA218EBC042730C2E84AE9EEE92A2AED2E76F8B2927F3BC41867CEB37
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q0::fairness_qp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_025,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.25,Q0,fairness_qp,16,1.7,0.0,0.5625,0.006793806776089899,0.006793806776089899,0.006853962224547431,-6.015544845754117e-05,0.003322432489571314,0.0019723749083421873,0.077163025558419,0.021711185759904134,0.012716661382288285,-0.0014647445730866931,0.8939722769451327,1.0,1.0,1.0,0.0471162093890031,0.044589333501869215,0.028176376680828008,0.07034609588423164,1.0,1.0,1.0,0.9090909183118847,0.9576326784558701,0.0,114,6E00216D4C0D80AC21134045A4B0BF2BEF93568189878748278AF133267AA7EC
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q0::fairness_qp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_050,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,0.5,Q0,fairness_qp,16,1.7,0.0625,0.5625,0.007251380793256755,0.007251380793256755,0.002973186872855385,0.004278193920401338,0.0029819022511327065,0.0016110192760147306,0.05743056188959039,0.052405892516326893,0.02882505246770302,-0.0006836932503836643,0.9021076965332031,1.0,1.0,1.0,0.04035168523794773,0.03773305823882367,0.022707031466478525,0.05640413694994164,1.0,1.0,1.0,0.9090909128684409,0.9574072951192572,0.0,114,27891EE7FC09FB012E422DA9B34F8E2FB4FA2F03E25E6B64D0B6B11306A7FD19
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q0::fairness_qp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,EXTERNALITY_CF_BETA_100,COUNTERFACTUAL_EXTERNALITY_CONDITIONED_FEEDBACK,1.0,Q0,fairness_qp,16,1.7,0.25,0.125,0.0049550241287052085,0.0049550241287052085,0.02145085488398243,-0.01649583075527726,0.017636770148232547,0.00605587331588331,0.06827677976572433,0.09259464374999997,0.0560705575899522,-0.011512442967211371,0.91,1.0,1.0,1.0,0.04540354145294856,0.044966474361639336,0.03578558832000958,0.06143060363015131,1.0,1.0,1.0,0.9090909181071419,0.9572515560162985,0.0,114,0F860D416ADFB6A110D9D5AF9AB6A0E20A91CB6E5849EFAFFD71F55DA10A5452
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q0::fairness_qp,DF_SINGLE_P021,SINGLE,1,CLUSTERED_SHORTFALL,0.2,0.0,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,EQUAL_ATTENUATION_UNIFORM_CONTROL,,Q0,fairness_qp,16,1.7,0.375,0.25,0.009008125657740349,0.009008125657740349,0.016150395750973656,-0.00714227009323333,0.008727523206790891,0.01000437801327784,0.07866740815514982,0.05240589251632685,0.022924555092153517,-0.0028579125018615772,0.7357285885827944,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9090909127242657,0.9576789899671905,0.0,114,7958B256010E6D7078A7968625F5072C22B5D102616FE0ABC317B71E7A93B107
