reporter_id,q_mode,method_id,forecast_cv,gamma_from,gamma_to,own_delivery_increment_kw,outside_delivery_decrement_kw,feeder_delivery_increment_kw,idle_award_increment_kw,stepwise_consequence_equivalent_ratio
p001,Q0,max_export_lp,0.2,1.9,2.0,0.00014283362408107347,0.00019305264169211522,-5.021901761104175e-05,6.492437458135991e-05,2.9735002137015814
p001,Q0,max_export_lp,0.3,1.1,1.2,1.6521837713917575e-05,2.146818882040047e-05,-4.9463511064828936e-06,7.509926232968089e-06,2.858641770162337
p001,Q0,max_export_lp,0.3,1.2,1.3,3.829099823673965e-05,4.9239327146871625e-05,-1.0948328910131977e-05,1.7404999198833426e-05,2.829033577328283
p001,Q0,max_export_lp,0.3,1.4,1.5,1.2022910611531046e-05,1.5582559187432565e-05,-3.5596485759015195e-06,5.4649593704547694e-06,2.8513586526693344
p001,Q0,max_export_lp,0.3,1.6,1.7,5.654773848479122e-05,7.299953041356444e-05,-1.645179192877322e-05,2.5703517491509897e-05,2.8400599426781508
p001,Q0,max_export_lp,0.3,1.7,1.8,1.41190061517249e-05,1.806862433978429e-05,-3.9496181880593895e-06,6.417730069596672e-06,2.8154229211637483
p001,Q0,max_export_lp,0.3,1.9,2.0,0.00014283362408107347,0.00018469835109946597,-4.18647270183925e-05,6.492437458135991e-05,2.8448229542513563
p001,Q0,weighted_proportional,0.0,1.1,1.2,2.387422730792947,5.568114917706694,-3.180692186913747,0.5421650872439593,10.270146582126188
p001,Q0,weighted_proportional,0.05,1.0,1.1,2.8850570252130607,5.139753772438731,-2.2546967472256707,0.07670014182543927,67.01100741294874
p001,Q0,weighted_proportional,0.05,1.1,1.2,1.955807274882121,5.56811491770684,-3.612307642824719,0.9737805431547855,5.718038788973596
p001,Q0,weighted_proportional,0.05,1.2,1.3,0.4972339033946366,5.981162653600839,-5.483928750206202,2.3979188998953376,2.494313987792456
p001,Q0,weighted_proportional,0.05,1.3,1.4,0.011081694341628923,6.378110031188065,-6.367028336846436,2.8475212022861034,2.239881489229111
p001,Q0,weighted_proportional,0.1,1.0,1.1,2.469846776796833,4.818519161661524,-2.3486723848646918,0.49191039024166705,9.795522227725806
p001,Q0,weighted_proportional,0.1,1.1,1.2,1.810779717183887,5.2201077353498455,-3.409328018165958,1.1188081008530193,4.665775776355077
p001,Q0,weighted_proportional,0.1,1.2,1.3,0.9047352510281187,5.607339987751023,-4.702604736722904,1.9904175522618557,2.8171676748825876
p001,Q0,weighted_proportional,0.1,1.3,1.4,0.22298945840575068,5.979478154238757,-5.756488695833006,2.6356134382219816,2.268723503805091
p001,Q0,weighted_proportional,0.1,1.4,1.5,0.05833307580239283,6.335888544481756,-6.277555468679363,2.761760530895739,2.294148414970214
p001,Q0,weighted_proportional,0.2,1.0,1.1,2.036208052338971,3.5335807185516086,-1.4973726662126374,0.9255491146995288,3.8178208616176503
p001,Q0,weighted_proportional,0.2,1.1,1.2,1.810779717183887,3.828079005923392,-2.0172992887395047,1.1188081008530193,3.4215689026605434
p001,Q0,weighted_proportional,0.2,1.2,1.3,0.9047352510281187,4.112049324350761,-3.2073140733226424,1.9904175522618557,2.06592296158057
p001,Q0,weighted_proportional,0.2,1.3,1.4,0.8933134051961611,4.384950646441621,-3.49163724124546,1.965289491431571,2.2311983377306426
p001,Q0,weighted_proportional,0.2,1.4,1.5,0.4095881536282167,4.646318265953388,-4.236730112325171,2.410505453069915,1.9275286268429879
p001,Q0,weighted_proportional,0.2,1.5,1.6,0.17373648603573322,4.895764020391755,-4.722027534356021,2.6060472905359497,1.8786167227935877
p001,Q0,weighted_proportional,0.2,1.6,1.7,0.009559489348033579,62.03496400837852,-62.02540451903049,0.14339234022048286,432.62397358877297
p001,Q0,weighted_proportional,0.3,1.0,1.1,2.0362080523389676,3.533580718551605,-1.4973726662126374,0.9255491146995323,3.817820861617632
p001,Q0,weighted_proportional,0.3,1.1,1.2,1.8107797171838906,3.8280790059233953,-2.0172992887395047,1.1188081008530157,3.421568902660557
p001,Q0,weighted_proportional,0.3,1.2,1.3,0.9047352510281187,4.112049324350761,-3.2073140733226424,1.9904175522618557,2.06592296158057
