interval,control_id,changed_participant_count,changed_raw_request_kw,changed_effective_request_kw,changed_allocation_kw,changed_capability_kw,changed_delivery_kw,feeder_delivery_kw,feeder_delivery_change_kw,idle_authorization_kw,request_attenuation_kw,mean_changed_ceiling_before_ratio,mean_changed_ceiling_after_ratio,replay_gate_triggered,replay_outsider_access_release_kw,replay_outsider_delivery_recovery_kw,replay_feeder_delivery_recovery_kw
13,EXTERNALITY_CF_BETA_050,5,479.299275,321.573332483,271.917162113,264.1086,252.506294246,1478.29281841,2.68067885044,31.493848083,77.2402925171,0.661996400123,0.617272709865,True,59.9605022293,59.9605022293,22.0217393075
14,EXTERNALITY_CF_BETA_050,5,479.299275,300.070216241,254.050664428,307.4841,253.979839136,1474.71669218,1.75295211356,26.2267009622,89.9076587585,0.617272709865,0.669420668658,True,69.1248846478,69.1248846478,44.8647305464
15,EXTERNALITY_CF_BETA_050,5,479.299275,336.710408121,285.10425331,282.4227,273.294550117,1492.48704728,12.1015872841,28.259337983,66.723081015,0.669420668658,0.632749550015,True,78.367050334,75.1169638512,47.5250840281
16,EXTERNALITY_CF_BETA_050,5,479.299275,336.07380406,284.707549247,293.0256,278.170276503,1487.31325093,27.9426713446,43.6875446447,55.5164541183,0.632749550015,0.688923794616,True,67.1356605658,63.2247706636,16.3313823735
1,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,375.921,301.352433808,309.89385,290.931559645,1462.71233247,1.55869290954,30.5276119815,0,0.78431372549,0.78431372549,False,0,0,0
2,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,370.555331565,301.352433808,296.39925,277.436959645,1434.81842802,-10.2473174438,58.4215164229,26.587575,0.773118906899,0.773118906899,False,0,0,0
3,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,361.242411578,301.352433808,301.21875,279.096077919,1450.97551,-9.80211553266,42.2644344427,72.7342875,0.753688625083,0.753688625083,False,0,0,0
4,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,362.502776294,301.352433808,279.531,257.408327919,1448.70782934,-19.5213943353,44.5321151025,66.48901875,0.75631822371,0.75631822371,False,0,0,0
5,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,361.309279803,301.352433808,314.2314,272.198651574,1446.61017114,-18.5826124993,46.6297733005,72.402946875,0.753828137551,0.753828137551,False,0,0,0
6,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,362.669946855,301.352433808,258.80715,255.014691929,1444.46532076,-31.5721130505,48.7746236815,65.6606671875,0.756667004879,0.756667004879,False,0,0,0
7,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,357.761717865,301.352433808,283.7079,276.702441929,1431.5676083,-9.58433108426,61.6723361434,89.9815710938,0.746426578393,0.746426578393,False,0,0,0
8,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,358.010700685,301.352433808,275.6754,275.043323655,1458.72683076,-8.20865845217,34.5131136816,88.7478292969,0.746946050952,0.746946050952,False,0,0,0
9,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,359.620477202,301.352433808,254.63025,253.355573655,1399.22598401,-17.4582665155,94.0139604333,80.7711802734,0.750304655066,0.750304655066,False,0,0,0
10,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,370.202310399,301.352433808,267.48225,258.001104823,1419.95345186,-18.2753589785,73.2864925909,28.3368401367,0.772382370909,0.772382370909,False,0,0,0
11,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,359.335432399,301.352433808,233.74575,224.264604822,1386.27614741,-23.6623534547,106.963797032,82.1836138184,0.74970994354,0.74970994354,False,0,0,0
12,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,345.790675142,301.352433807,269.892,255.670282234,1432.36921432,-28.2143909467,60.8707301276,149.299622534,0.721450444802,0.721450444802,False,0,0,0
13,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,360.333049634,301.352433808,264.1086,249.886882234,1441.22190099,-34.3902385633,52.0180434528,77.2402925171,0.75179135131,0.75179135131,False,0,0,0
14,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,357.776634196,301.352433808,307.4841,283.623382234,1458.14934655,-14.8143935161,35.0905978942,89.9076587585,0.746457699516,0.746457699516,False,0,0,0
15,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,362.455539925,301.352433808,282.4227,277.682127411,1461.80762802,-18.5778319755,31.4323164226,66.723081015,0.756219670736,0.756219670736,False,0,0,0
16,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,5,479.299275,364.717161911,301.352433808,293.0256,283.465527411,1452.85628208,-6.51429750628,40.383662362,55.5164541183,0.760938271629,0.760938271629,False,0,0,0
