cell_count,endogenous_externality_cell_share,forecast_cv,inflated_request_cell_share,mean_incremental_own_idle_award_mw,mean_outside_delivery_loss_mw,mean_own_delivery_gain_mw,mean_private_utility_gain_mw_equivalent,mean_selected_gamma,mean_system_delivery_loss_mw,mean_total_delivery_change_mw,penalty_to_export_value_ratio,productive_high_request_cell_share,strict_private_gain_cell_share,externality_cell_percent,productive_high_request_percent,reference_or_other_percent,mean_own_delivery_gain_kw,mean_outside_delivery_loss_kw,mean_signed_feeder_delivery_change_kw
300,0.413333333333,0.05,0.666666666667,0.00123401680072,0.00556753475363,0.00367374892725,0.00305674052689,1.202,0.00222037520999,-0.00189378582638,0.5,0.21,0.666666666667,41.3333333333,21,37.6666666667,3.67374892725,5.56753475363,-1.89378582638
300,0.366666666667,0.05,0.64,0.000755109131515,0.00490885219714,0.00331865445742,0.00256354532591,1.18333333333,0.00193759828895,-0.00159019773972,1,0.23,0.64,36.6666666667,23,40.3333333333,3.31865445742,4.90885219714,-1.59019773972
300,0.366666666667,0.05,0.58,0.000478884139457,0.00436744602417,0.00293090224912,0.0019731339702,1.17066666667,0.00176440247348,-0.00143654377505,2,0.17,0.58,36.6666666667,17,46.3333333333,2.93090224912,4.36744602417,-1.43654377505
300,0.326666666667,0.05,0.566666666667,8.24542743411e-05,0.00282504230407,0.00207034971003,0.00165807833832,1.13666666667,0.00105977224855,-0.000754692594047,5,0.196666666667,0.566666666667,32.6666666667,19.6666666667,47.6666666667,2.07034971003,2.82504230407,-0.754692594047
300,0.3,0.05,0.513333333333,4.07753240614e-05,0.0024916053005,0.00174520641173,0.00133745317112,1.128,0.00099289036353,-0.000746398888768,10,0.156666666667,0.513333333333,30,15.6666666667,54.3333333333,1.74520641173,2.4916053005,-0.746398888768
300,0.833333333333,0.1,0.9,0.00985075109437,0.0163410529188,0.00478273685099,0.00478273685099,1.41166666667,0.0115583163097,-0.0115583160678,0,0.0633333333333,0.9,83.3333333333,6.33333333333,10.3333333333,4.78273685099,16.3410529188,-11.5583160678
300,0.78,0.1,0.9,0.0078788138827,0.0140741253388,0.00473422330358,0.00434028260945,1.36633333333,0.00938237116698,-0.00933990203523,0.05,0.116666666667,0.9,78,11.6666666667,10.3333333333,4.73422330358,14.0741253388,-9.33990203523
300,0.753333333333,0.1,0.9,0.00478806355782,0.00994048992842,0.00451726343526,0.00403845707948,1.299,0.00559363626354,-0.00542322649316,0.1,0.143333333333,0.9,75.3333333333,14.3333333333,10.3333333333,4.51726343526,9.94048992842,-5.42322649316
300,0.753333333333,0.1,0.9,0.0042332588893,0.00944884300814,0.00442143503209,0.00336312030976,1.285,0.00525631104217,-0.00502740797606,0.25,0.143333333333,0.9,75.3333333333,14.3333333333,10.3333333333,4.42143503209,9.44884300814,-5.02740797606
300,0.48,0.1,0.666666666667,0.00161458343633,0.00518354278103,0.00332947869321,0.00252218697504,1.20333333333,0.00216183754018,-0.00185406408783,0.5,0.183333333333,0.666666666667,48,18.3333333333,33.6666666667,3.32947869321,5.18354278103,-1.85406408783
300,0.433333333333,0.1,0.64,0.00112773112412,0.00452157730802,0.00294603246406,0.00181830133994,1.18166666667,0.00184613565991,-0.00157554484396,1,0.203333333333,0.64,43.3333333333,20.3333333333,36.3333333333,2.94603246406,4.52157730802,-1.57554484396
300,0.36,0.1,0.566666666667,0.000412624913456,0.00286112232431,0.00189049284714,0.00106524302023,1.145,0.0011728595831,-0.000970629477169,2,0.203333333333,0.566666666667,36,20.3333333333,43.6666666667,1.89049284714,2.86112232431,-0.970629477169
300,0.286666666667,0.1,0.44,0.00017920154418,0.00176722709334,0.00117481531021,0.000278807589313,1.109,0.000762582804197,-0.000592411783129,5,0.15,0.44,28.6666666667,15,56.3333333333,1.17481531021,1.76722709334,-0.592411783129
300,0.166666666667,0.1,0.24,1.60515993828e-05,0.000740902075571,0.000349979649622,0.000189463655794,1.08633333333,0.000391419903284,-0.000390922425949,10,0.07,0.24,16.6666666667,7,76.3333333333,0.349979649622,0.740902075571,-0.390922425949
300,0.833333333333,0.2,0.9,0.0132549192318,0.0310495835103,0.00604331681002,0.00604331681002,1.55666666667,0.0250062678122,-0.0250062667002,0,0.0633333333333,0.9,83.3333333333,6.33333333333,10.3333333333,6.04331681002,31.0495835103,-25.0062667002
300,0.833333333333,0.2,0.9,0.0132549192318,0.0310495835103,0.00604331681002,0.00538057084843,1.55666666667,0.0250062678122,-0.0250062667002,0.05,0.0633333333333,0.9,83.3333333333,6.33333333333,10.3333333333,6.04331681002,31.0495835103,-25.0062667002
300,0.753333333333,0.2,0.9,0.00883530086773,0.0134287816103,0.00574832709742,0.00486479701065,1.40933333333,0.00787395247146,-0.00768045451288,0.1,0.143333333333,0.9,75.3333333333,14.3333333333,10.3333333333,5.74832709742,13.4287816103,-7.68045451288
300,0.753333333333,0.2,0.9,0.00749060424555,0.0121048551589,0.00552162209944,0.00364897103806,1.37866666667,0.00690378063367,-0.00658323305946,0.25,0.143333333333,0.9,75.3333333333,14.3333333333,10.3333333333,5.52162209944,12.1048551589,-6.58323305946
300,0.36,0.2,0.666666666667,0.00189162813761,0.00414719783425,0.00305243399117,0.00210661992236,1.20166666667,0.00153929714289,-0.00109476384308,0.5,0.303333333333,0.666666666667,36,30.3333333333,33.6666666667,3.05243399117,4.14719783425,-1.09476384308
300,0.36,0.2,0.64,0.00140477582545,0.0035879145779,0.00266898776273,0.00126421193729,1.18166666667,0.0013176579418,-0.000918926815167,1,0.276666666667,0.64,36,27.6666666667,36.3333333333,2.66898776273,3.5879145779,-0.918926815167
300,0.36,0.2,0.566666666667,0.000689669603114,0.00227844459579,0.00161344812014,0.000234108913916,1.14066666667,0.000901921255369,-0.000664996475641,2,0.2,0.563333333333,36,20,44,1.61344812014,2.27844459579,-0.664996475641
300,0.0533333333333,0.2,0.146666666667,4.21795560847e-06,0.000242833314188,8.82262076742e-05,6.71364296318e-05,1.07166666667,0.000154608782726,-0.000154607106514,5,0.07,0.146666666667,5.33333333333,7,87.6666666667,0.0882262076742,0.242833314188,-0.154607106514
300,0.04,0.2,0.133333333333,2.77177048015e-06,0.000201607640895,7.48782784374e-05,4.71605736359e-05,1.07033333333,0.00012673103867,-0.000126729362458,10,0.07,0.133333333333,4,7,89,0.0748782784374,0.201607640895,-0.126729362458
300,0.776666666667,0.3,0.9,0.0121342653615,0.0287617659367,0.00716397068035,0.00716397068035,1.55666666667,0.0216967377265,-0.0215977952564,0,0.12,0.9,77.6666666667,12,10.3333333333,7.16397068035,28.7617659367,-21.5977952564
300,0.776666666667,0.3,0.9,0.0121342653615,0.0287617659367,0.00716397068035,0.00655725741227,1.55666666667,0.0216967377265,-0.0215977952564,0.05,0.12,0.9,77.6666666667,12,10.3333333333,7.16397068035,28.7617659367,-21.5977952564
300,0.723333333333,0.3,0.9,0.0114612857633,0.0170237448212,0.0071191053738,0.00597297679746,1.498,0.0101666429026,-0.00990463944742,0.1,0.173333333333,0.9,72.3333333333,17.3333333333,10.3333333333,7.1191053738,17.0237448212,-9.90463944742
300,0.723333333333,0.3,0.9,0.0111557795986,0.0168320649473,0.00704703038922,0.00425808548957,1.492,0.010081257629,-0.00978503455804,0.25,0.173333333333,0.9,72.3333333333,17.3333333333,10.3333333333,7.04703038922,16.8320649473,-9.78503455804
300,0.356666666667,0.3,0.666666666667,0.00190601291524,0.00399605877456,0.00303804921354,0.00208504275592,1.20166666667,0.00144259473274,-0.000958009561023,0.5,0.306666666667,0.666666666667,35.6666666667,30.6666666667,33.6666666667,3.03804921354,3.99605877456,-0.958009561023
300,0.35,0.3,0.64,0.00141916060308,0.0034834811325,0.0026546029851,0.00123544238203,1.18166666667,0.00124599042087,-0.000828878147395,1,0.286666666667,0.64,35,28.6666666667,36.3333333333,2.6546029851,3.4834811325,-0.828878147395
