trajectory_id,scenario_id,profile_id,q_mode,method_id,control_id,delivery_change_kw,jain_change_percentage_points,minimum_voltage_margin_mpu,maximum_loading_ratio,maximum_mva_excess,matched_q_pair_pass_rate
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q95::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,weighted_proportional,NO_FEEDBACK,-2.53476807637,-0.348977135981,5.75304946887,0.909090908641,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q95::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,weighted_proportional,DELIVERY_RATIO_CF_BETA_050,0.843436810126,-0.196463832707,5.68303601481,0.909090917492,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q95::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,weighted_proportional,EXTERNALITY_CF_BETA_025,1.95210477302,-0.189281796879,5.63396650061,0.909090915809,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,weighted_proportional,EXTERNALITY_CF_BETA_050,5.85523722124,-0.312895121267,5.61080261638,0.909090911914,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q95::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,weighted_proportional,EXTERNALITY_CF_BETA_100,-14.5469176842,-1.54792876744,5.41295656865,0.909090911368,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q95::weighted_proportional,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,weighted_proportional,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-2.53476807417,-0.348977135981,5.75304945261,0.909090916106,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q95::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,equal_kw_reduction,NO_FEEDBACK,-4.51939976283,-1.1957496442,6.19201553966,0.909090905434,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q95::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,equal_kw_reduction,DELIVERY_RATIO_CF_BETA_050,0.911678778198,-0.585286856899,6.07493728908,0.909090910404,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q95::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,equal_kw_reduction,EXTERNALITY_CF_BETA_025,-0.326815623482,-0.228706444475,6.01129205309,0.909090910138,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,equal_kw_reduction,EXTERNALITY_CF_BETA_050,10.3644517472,0.45488342705,5.8464349875,0.909090910887,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q95::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,equal_kw_reduction,EXTERNALITY_CF_BETA_100,-21.8399374255,0.288103080563,5.7185069746,0.909090912699,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q95::equal_kw_reduction,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,equal_kw_reduction,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,-12.1494228027,0.226171116109,6.04482071792,0.909090915983,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q95::flat_level,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,flat_level,NO_FEEDBACK,0,0,4.39413316793,0.909090906997,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q95::flat_level,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,flat_level,DELIVERY_RATIO_CF_BETA_050,0,0,4.39413316793,0.909090906997,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q95::flat_level,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,flat_level,EXTERNALITY_CF_BETA_025,10.6834817468,0.366388766027,4.39413316793,0.909090916042,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_050::Q95::flat_level,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,flat_level,EXTERNALITY_CF_BETA_050,56.9462072023,1.42668913542,4.39413316793,0.909090920382,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_100::Q95::flat_level,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,flat_level,EXTERNALITY_CF_BETA_100,62.2921691813,1.09866935019,4.39413316793,0.909090917273,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050::Q95::flat_level,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,flat_level,UNIFORM_MATCHED_EXTERNALITY_CF_BETA_050,20.6787786568,0.776934520555,4.39413316793,0.909090917665,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::NO_FEEDBACK::Q95::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,max_export_lp,NO_FEEDBACK,-10.4262046629,-1.59970713595,6.39035642977,0.909090899668,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::DELIVERY_RATIO_CF_BETA_050::Q95::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,max_export_lp,DELIVERY_RATIO_CF_BETA_050,-1.67225368189,-0.636682484319,6.24867315971,0.909090917092,0,1
DF_SINGLE_P021::CLUSTERED_SHORTFALL::THETA_0000::EXTERNALITY_CF_BETA_025::Q95::max_export_lp,DF_SINGLE_P021,CLUSTERED_SHORTFALL,Q95,max_export_lp,EXTERNALITY_CF_BETA_025,-3.12847344805,-0.231166809527,6.181283155,0.909090914072,0,1
