Mapping,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
M02,2013-06-12,No feedback,0.7903062869431078,1.8769835446771588,1.0866772577340509,-6.66799978537166,0
M02,2013-06-12,Previous-day persistence,0.7139334478051834,1.2498401391026497,0.5359066912974664,-6.74454085814435,0
M02,2013-06-12,ECF,0.9049653883571211,2.0231581374218717,1.1181927490647505,-6.553891826900149,7
M02,2013-06-12,Equal-total control,0.7903148819895195,1.8769980274983966,1.0866831455088772,-6.667991225534737,0
M02,2013-06-13,No feedback,1.3567013915068356,2.0945436892459504,0.7378422977391144,-5.437769959853237,0
M02,2013-06-13,Previous-day persistence,0.9493098865865921,1.0924159915044651,0.143106104917873,-5.84540433466232,0
M02,2013-06-13,ECF,1.3567013915068356,2.0945436892459504,0.7378422977391144,-5.437769959849993,1
M02,2013-06-13,Equal-total control,1.3567013915068356,2.0945436892459504,0.7378422977391144,-5.437769959850406,0
M02,2013-06-14,No feedback,1.2335944309840177,1.8950025084536963,0.6614080774696787,-5.696238793670954,0
M02,2013-06-14,Previous-day persistence,1.1601551856025267,1.1957609812642014,0.03560579566167463,-5.769874284481995,0
M02,2013-06-14,ECF,1.2335715045772342,1.8949605552401538,0.6613890506629196,-5.696261704833599,3
M02,2013-06-14,Equal-total control,1.2335896460388196,1.894997608349919,0.6614079623110992,-5.69624355603453,0
M02,2013-06-15,No feedback,1.19093666148183,1.9406151099762643,0.7496784484944341,-5.953555169259011,0
M02,2013-06-15,Previous-day persistence,1.1669309871252769,1.3414185844904634,0.1744875973651865,-5.978153152374323,0
M02,2013-06-15,ECF,1.1875591856806682,1.9355121918486156,0.7479530061679474,-5.956918951005023,3
M02,2013-06-15,Equal-total control,1.1909379334251067,1.9406143163953788,0.7496763829702724,-5.953553886949656,0
M02,2013-06-16,No feedback,1.3136877819469597,2.0102822083531917,0.6965944264062321,-6.200024018896285,0
M02,2013-06-16,Previous-day persistence,1.1762231258830962,1.2182594878628141,0.04203636197971806,-6.337870034668336,0
