forecast_cv,penalty_to_export_value_ratio,cell_count,mean_selected_gamma,inflated_request_cell_share,strict_private_gain_cell_share,endogenous_externality_cell_share,productive_high_request_cell_share,mean_private_utility_gain_mw_equivalent,mean_own_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
0.05,2.0,300,1.1706666666666665,0.58,0.58,0.36666666666666664,0.17,0.00197313397020497,0.0029309022491195973,0.004367446024173257,-0.0014365437750536454,0.001764402473480525,0.0004788841394573138
0.05,5.0,300,1.1366666666666667,0.5666666666666667,0.5666666666666667,0.32666666666666666,0.19666666666666666,0.0016580783383219242,0.00207034971002723,0.002825042304074227,-0.0007546925940469832,0.0010597722485466488,8.24542743410612e-05
0.05,10.0,300,1.1280000000000001,0.5133333333333333,0.5133333333333333,0.3,0.15666666666666668,0.0013374531711151066,0.0017452064117287225,0.0024916053004964012,-0.0007463988887676669,0.0009928903635301604,4.077532406136158e-05
0.1,0.0,300,1.4116666666666666,0.9,0.9,0.8333333333333334,0.06333333333333334,0.0047827368509877006,0.0047827368509877006,0.016341052918816733,-0.011558316067829004,0.011558316309708048,0.009850751094367933
0.1,0.05,300,1.3663333333333332,0.9,0.9,0.78,0.11666666666666667,0.0043402826094500625,0.004734223303584884,0.014074125338810868,-0.00933990203522596,0.009382371166983124,0.00787881388269641
0.1,0.1,300,1.299,0.9,0.9,0.7533333333333333,0.14333333333333334,0.004038457079479936,0.004517263435261945,0.009940489928418283,-0.0054232264931563185,0.005593636263544527,0.004788063557820085
0.1,0.25,300,1.285,0.9,0.9,0.7533333333333333,0.14333333333333334,0.0033631203097608045,0.004421435032086657,0.00944884300814447,-0.005027407976057791,0.005256311042165664,0.004233258889303409
0.1,0.5,300,1.2033333333333334,0.6666666666666666,0.6666666666666666,0.48,0.18333333333333332,0.0025221869750409283,0.0033294786932058294,0.005183542781031807,-0.0018540640878259604,0.00216183754018177,0.0016145834363298027
0.1,1.0,300,1.1816666666666666,0.64,0.64,0.43333333333333335,0.20333333333333334,0.0018183013399399532,0.0029460324640594392,0.004521577308016168,-0.0015755448439567102,0.001846135659905485,0.001127731124119486
0.1,2.0,300,1.145,0.5666666666666667,0.5666666666666667,0.36,0.20333333333333334,0.0010652430202292395,0.0018904928471406453,0.0028611223243094,-0.0009706294771687333,0.0011728595831025966,0.00041262491345570295
0.1,5.0,300,1.109,0.44,0.44,0.2866666666666667,0.15,0.00027880758931319037,0.0011748153102135552,0.0017672270933421325,-0.0005924117831285606,0.0007625828041974233,0.00017920154418007297
0.1,10.0,300,1.0863333333333332,0.24,0.24,0.16666666666666666,0.07,0.00018946365579399722,0.000349979649621582,0.000740902075570769,-0.0003909224259491776,0.00039141990328388796,1.6051599382758476e-05
0.2,0.0,300,1.5566666666666666,0.9,0.9,0.8333333333333334,0.06333333333333334,0.00604331681001905,0.00604331681001905,0.031049583510252526,-0.025006266700233468,0.02500626781216234,0.013254919231849772
0.2,0.05,300,1.5566666666666666,0.9,0.9,0.8333333333333334,0.06333333333333334,0.005380570848426562,0.00604331681001905,0.031049583510252526,-0.025006266700233468,0.02500626781216234,0.013254919231849772
0.2,0.1,300,1.4093333333333333,0.9,0.9,0.7533333333333333,0.14333333333333334,0.004864797010648527,0.005748327097421704,0.013428781610305463,-0.007680454512883769,0.007873952471461122,0.008835300867731771
0.2,0.25,300,1.3786666666666665,0.9,0.9,0.7533333333333333,0.14333333333333334,0.003648971038056356,0.005521622099443021,0.012104855158904011,-0.006583233059461003,0.006903780633666336,0.007490604245546656
0.2,0.5,300,1.2016666666666667,0.6666666666666666,0.6666666666666666,0.36,0.30333333333333334,0.0021066199223626373,0.0030524339911670063,0.0041471978342465885,-0.001094763843079575,0.001539297142891974,0.0018916281376087389
0.2,1.0,300,1.1816666666666666,0.64,0.64,0.36,0.27666666666666667,0.0012642119372870946,0.00266898776273301,0.003587914577899795,-0.0009189268151667821,0.0013176579417976163,0.0014047758254459152
0.2,2.0,300,1.1406666666666667,0.5666666666666667,0.5633333333333334,0.36,0.2,0.00023410891391636846,0.0016134481201447943,0.002278444595786235,-0.0006649964756414484,0.0009019212553692216,0.0006896696031142129
0.2,5.0,300,1.0716666666666668,0.14666666666666667,0.14666666666666667,0.05333333333333334,0.07,6.71364296318178e-05,8.822620767417521e-05,0.0002428333141884549,-0.00015460710651428697,0.00015460878272638052,4.217955608471482e-06
0.2,10.0,300,1.0703333333333334,0.13333333333333333,0.13333333333333333,0.04,0.07,4.7160573635922504e-05,7.487827843739824e-05,0.00020160764089496906,-0.0001267293624575768,0.00012673103866967035,2.771770480147574e-06
0.3,0.0,300,1.5566666666666666,0.9,0.9,0.7766666666666666,0.12,0.00716397068035085,0.00716397068035085,0.02876176593674605,-0.021597795256395155,0.02169673772653428,0.012134265361517974
0.3,0.05,300,1.5566666666666666,0.9,0.9,0.7766666666666666,0.12,0.00655725741227495,0.00716397068035085,0.02876176593674605,-0.021597795256395155,0.02169673772653428,0.012134265361517974
0.3,0.1,300,1.4980000000000002,0.9,0.9,0.7233333333333334,0.17333333333333334,0.005972976797464355,0.007119105373798855,0.017023744821214933,-0.009904639447416033,0.010166642902636707,0.011461285763344993
0.3,0.25,300,1.492,0.9,0.9,0.7233333333333334,0.17333333333333334,0.004258085489574956,0.007047030389223832,0.01683206494726332,-0.009785034558039439,0.010081257629003602,0.011155779598595506
0.3,0.5,300,1.2016666666666667,0.6666666666666666,0.6666666666666666,0.3566666666666667,0.30666666666666664,0.0020850427559184056,0.003038049213537519,0.003996058774560714,-0.0009580095610231676,0.0014425947327403469,0.0019060129152382267
0.3,1.0,300,1.1816666666666666,0.64,0.64,0.35,0.2866666666666667,0.0012354423820281196,0.0026546029851035225,0.0034834811324986627,-0.0008288781473951164,0.0012459904208665274,0.0014191606030754028
0.3,2.0,300,1.1406666666666667,0.5666666666666667,0.5633333333333334,0.35,0.21,0.0001909545810279045,0.0015990633425153062,0.002196424299973754,-0.0005973609574584297,0.000839521654060024,0.0007040543807437009
0.3,5.0,300,1.0663333333333334,0.12,0.12,0.02666666666666667,0.07,3.5557697813909485e-05,5.1972533594388926e-05,0.00012754048375084972,-7.556795015645435e-05,7.556938042129055e-05,3.2829671560958884e-06
0.3,10.0,300,1.0656666666666665,0.12,0.12,0.02666666666666667,0.07,2.3529088002903092e-05,4.486175132253363e-05,9.972190534020873e-05,-5.486015401766779e-05,5.486158428250399e-05,2.1332663319630535e-06
