assumed_forecast_cv,penalty_to_export_value_ratio,method_id,realized_cv_multiplier,realized_mean_bias,cell_count,mean_private_utility_gain_mw_equivalent,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
0.0,0.0,fairness_qp,1.5,0.1,60,0.007311505965136546,-0.0022292299802194604,0.0032341553491374944,0.0
0.0,0.0,flat_level,0.5,-0.1,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,0.5,0.0,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,0.5,0.1,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,1.0,-0.1,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,1.0,0.0,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,1.0,0.1,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,1.5,-0.1,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,1.5,0.0,60,0.0,0.0,0.0,0.0
0.0,0.0,flat_level,1.5,0.1,60,0.0,0.0,0.0,0.0
0.0,0.0,max_export_lp,0.5,-0.1,60,1.1545095479416288e-08,5.6715202904437474e-11,8.203033807774318e-11,0.0
0.0,0.0,max_export_lp,0.5,0.0,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.0,max_export_lp,0.5,0.1,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.0,max_export_lp,1.0,-0.1,60,1.1545095479416288e-08,5.6715202904437474e-11,8.203033807774318e-11,0.0
0.0,0.0,max_export_lp,1.0,0.0,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.0,max_export_lp,1.0,0.1,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.0,max_export_lp,1.5,-0.1,60,1.1545095479416288e-08,5.6715202904437474e-11,8.203033807774318e-11,0.0
0.0,0.0,max_export_lp,1.5,0.0,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.0,max_export_lp,1.5,0.1,60,1.1545095479416288e-08,5.663948199341462e-11,8.207626430352851e-11,0.0
0.0,0.0,weighted_proportional,0.5,-0.1,60,0.0028292517666730827,-0.007737632468119807,0.007737632468119807,0.006780186497857991
0.0,0.0,weighted_proportional,0.5,0.0,60,0.008725106766673077,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
0.0,0.0,weighted_proportional,0.5,0.1,60,0.009609438264531074,-0.0009574459702618351,0.003283974977785142,0.0
0.0,0.0,weighted_proportional,1.0,-0.1,60,0.0028292517666730827,-0.007737632468119807,0.007737632468119807,0.006780186497857991
0.0,0.0,weighted_proportional,1.0,0.0,60,0.008725106766673077,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
0.0,0.0,weighted_proportional,1.0,0.1,60,0.009609438264531074,-0.0009574459702618351,0.003283974977785142,0.0
0.0,0.0,weighted_proportional,1.5,-0.1,60,0.0028292517666730827,-0.007737632468119807,0.007737632468119807,0.006780186497857991
0.0,0.0,weighted_proportional,1.5,0.0,60,0.008725106766673077,-0.0018417774681198133,0.0035743345022884714,0.0008843314978579967
0.0,0.0,weighted_proportional,1.5,0.1,60,0.009609438264531074,-0.0009574459702618351,0.003283974977785142,0.0
0.0,0.05,equal_kw_reduction,0.5,-0.1,60,0.0008930291542088293,-0.0031919560774681536,0.0031919560774681536,0.0065774530654345
0.0,0.05,equal_kw_reduction,0.5,0.0,60,0.00504605685743313,-0.0034672409848948,0.003723075489378077,0.002622188586173268
