reporter_id,reporter_bus_id,gamma,q_mode,method_id,matched_q_pair_pass,reference_total_export_mw,reported_total_export_mw,total_export_change_mw,redistribution_mw,reporter_access_gain_mw,other_participant_access_loss_mw,reported_maximum_loading_ratio,reported_minimum_voltage_pu
p022,51,1.8,Q0,fairness_qp,1,1.5948810760742278,1.5943665380024852,-0.0005145380717426207,0.02893079326182414,0.028673524225952825,0.029188062297695452,0.9090909073338787,0.9578765740699313
p022,51,1.8,Q95,weighted_proportional,1,1.5070032970001674,1.3458900000139915,-0.16111329698617594,0.10955319832278257,0.028996549829694587,0.19010984681587056,0.9090908939369925,0.9552757796933257
p022,51,1.8,Q95,equal_kw_reduction,1,1.612487277003052,1.6143219528446975,0.0018346758416454279,0.024386316320451337,0.02530365424127408,0.023468978399628592,0.9090908964876037,0.9561980959003065
p022,51,1.8,Q95,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090909069966064,0.9543941331679278
p022,51,1.8,Q95,max_export_lp,1,1.6572322873433465,1.659599565885448,0.002367278542101614,0.01620019700717091,0.01738383627822178,0.01501655773612004,0.9090909064902547,0.956358150415679
p022,51,1.8,Q95,fairness_qp,1,1.5948810871865815,1.5943665422163156,-0.0005145449702659288,0.028930796962358937,0.028673524477225994,0.029188069447491884,0.9090909061635266,0.9561668097805985
p022,51,1.9,Q0,weighted_proportional,1,1.5070032969994482,1.2792813157901572,-0.227721981209291,0.14285754043436463,0.02899654982971908,0.2567185310390102,0.9090909049533157,0.9564316038271007
p022,51,1.9,Q0,equal_kw_reduction,1,1.612487277003052,1.6143219528446975,0.0018346758416454279,0.024386316320451337,0.02530365424127408,0.023468978399628592,0.9090908890888424,0.95791732712779
p022,51,1.9,Q0,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090908983503695,0.955563065083861
p022,51,1.9,Q0,max_export_lp,1,1.6572322875094938,1.6595995651231035,0.002367277613609664,0.01620001362226555,0.017383652429070418,0.015016374815460688,0.9090908958133462,0.9581263883963026
p022,51,1.9,Q0,fairness_qp,1,1.5948810760742278,1.5944075651882905,-0.0004735108859372783,0.02891027968929376,0.028673524246325154,0.02914703513226237,0.9090909169073775,0.9578767584863176
p022,51,1.9,Q95,weighted_proportional,1,1.5070032970001674,1.2792813157997402,-0.2277219812004272,0.1428575404299082,0.028996549829694587,0.2567185310301218,0.9090909018162361,0.9550599243701853
p022,51,1.9,Q95,equal_kw_reduction,1,1.612487277003052,1.6143219528446975,0.0018346758416454279,0.024386316320451337,0.02530365424127408,0.023468978399628592,0.9090908964876037,0.9561980959003065
p022,51,1.9,Q95,flat_level,1,1.1849636607191736,1.1849636607191736,0.0,0.0,0.0,0.0,0.9090909069966064,0.9543941331679278
p022,51,1.9,Q95,max_export_lp,1,1.6572322873433465,1.6595995663912362,0.002367279047889692,0.016200312556370385,0.017383952080315318,0.015016673032425456,0.90909089980918,0.9563581515518114
p022,51,1.9,Q95,fairness_qp,1,1.5948810871865815,1.5944075830721105,-0.0004735041144710017,0.028910276540404276,0.02867352448316874,0.02914702859763981,0.909090898337702,0.9561669508973315
p022,51,2.0,Q0,weighted_proportional,1,1.5070032969994482,1.2193335000021666,-0.2876697969972817,0.17283144832835995,0.02899654982971908,0.3166663468270008,0.9090909054194365,0.9561779081038319
