method_id,forecast_cv,penalty_to_export_value_ratio,cell_count,mean_selected_gamma,inflated_request_cell_share,strict_private_gain_cell_share,endogenous_externality_cell_share,productive_high_request_cell_share,mean_private_utility_gain_mw_equivalent,mean_own_delivery_gain_mw,mean_outside_delivery_loss_mw,mean_total_delivery_change_mw,mean_system_delivery_loss_mw,mean_incremental_own_idle_award_mw
equal_kw_reduction,0.05,0.5,60,1.2166666666666666,1.0,1.0,0.5,0.4666666666666667,0.0036145849340532706,0.004949014244391655,0.007782197412205404,-0.0028331831678136835,0.0031097605224728857,0.002668858620676761
equal_kw_reduction,0.05,1.0,60,1.1966666666666665,0.8666666666666667,0.8666666666666667,0.5,0.3333333333333333,0.0026267031729232224,0.004095248296582992,0.0068771202194959965,-0.0027818719229129483,0.002867804432644531,0.0014685451236597696
equal_kw_reduction,0.05,2.0,60,1.1400000000000001,0.6,0.6,0.5,0.06666666666666667,0.0019253023527281805,0.002336609296380954,0.0043904102964888924,-0.0020538010001078725,0.0020593610356041494,0.00020565347182638697
equal_kw_reduction,0.05,5.0,60,1.1266666666666665,0.5333333333333333,0.5333333333333333,0.5,0.0,0.0015784403938332316,0.001997867917428357,0.003829595512237553,-0.0018317275948091258,0.0018317275948091258,8.388550471902512e-05
equal_kw_reduction,0.05,10.0,60,1.1133333333333333,0.5,0.5,0.4,0.0,0.00131376101054166,0.001709471592304657,0.0032883056720229217,-0.0015788340797182018,0.0015788340797182018,3.9571058176299706e-05
equal_kw_reduction,0.1,0.0,60,1.4233333333333333,1.0,1.0,1.0,0.0,0.0060979929431850596,0.0060979929431850596,0.016153256039366404,-0.010055263096181306,0.010055263096181306,0.01315299482527099
equal_kw_reduction,0.1,0.05,60,1.3533333333333333,1.0,1.0,0.8666666666666667,0.13333333333333333,0.005511195953841977,0.005980280973496608,0.012828084978091353,-0.006847804004594726,0.006878624466320741,0.009381700393092619
equal_kw_reduction,0.1,0.1,60,1.32,1.0,1.0,0.8666666666666667,0.13333333333333333,0.005121032007588965,0.0058827760355878896,0.011286320736396785,-0.0054035447008089045,0.005434365162534919,0.007617440279989246
equal_kw_reduction,0.1,0.25,60,1.2933333333333332,1.0,1.0,0.8666666666666667,0.13333333333333333,0.00410804624733172,0.005540285748122152,0.01011916256637213,-0.004578876818249977,0.004902163758574307,0.005728958003161736
equal_kw_reduction,0.1,0.5,60,1.2233333333333334,1.0,1.0,0.6,0.4,0.003169081003088779,0.004712505626364205,0.007136269584854049,-0.0024237639584898146,0.00286034094469431,0.003086849246550855
equal_kw_reduction,0.1,1.0,60,1.1966666666666665,0.8666666666666667,0.8666666666666667,0.6,0.26666666666666666,0.0018890798284690168,0.003726436624355889,0.006077238434528445,-0.002350801810172539,0.0024640918560527043,0.0018373567958868725
equal_kw_reduction,0.1,2.0,60,1.1266666666666665,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0011314192020344465,0.0017649753487764036,0.003376899601405587,-0.001611924252629171,0.001611924252629171,0.0003167780733709787
equal_kw_reduction,0.1,5.0,60,1.0833333333333333,0.2,0.2,0.2,0.0,0.0005830631506909157,0.0006891956225573374,0.0018445257307329224,-0.0011553301081755822,0.0011553301081755822,2.122649437328435e-05
equal_kw_reduction,0.1,10.0,60,1.0766666666666667,0.2,0.2,0.2,0.0,0.0005108553543981419,0.0006280596536188452,0.001621817498696175,-0.0009937578450773218,0.0009937578450773218,1.1720429922070329e-05
equal_kw_reduction,0.2,0.0,60,1.5799999999999998,1.0,1.0,1.0,0.0,0.007847412251018364,0.007847412251018364,0.018825556493494308,-0.01097814424247586,0.01097814424247586,0.01692154764621406
equal_kw_reduction,0.2,0.05,60,1.5799999999999998,1.0,1.0,1.0,0.0,0.007001334868707661,0.007847412251018364,0.018825556493494308,-0.01097814424247586,0.01097814424247586,0.01692154764621406
equal_kw_reduction,0.2,0.1,60,1.4233333333333333,1.0,1.0,0.8666666666666667,0.13333333333333333,0.006327694115421217,0.007502538992969837,0.014365769858389216,-0.006863230865419342,0.007043501023119073,0.011748448775486213
equal_kw_reduction,0.2,0.25,60,1.3933333333333333,1.0,1.0,0.8666666666666667,0.13333333333333333,0.004686234487063712,0.007145707502333826,0.013089966477501365,-0.005944258975167512,0.006397488295210548,0.009837892061080449
equal_kw_reduction,0.2,0.5,60,1.2233333333333334,1.0,1.0,0.5333333333333333,0.4666666666666667,0.002854018688855237,0.004502464083541843,0.006355349552547461,-0.0018528854690055495,0.0024938554488951104,0.0032968907893732168
equal_kw_reduction,0.2,1.0,60,1.1966666666666665,0.8666666666666667,0.8666666666666667,0.5333333333333333,0.3333333333333333,0.0014689967428242927,0.0035163950815335276,0.005415149836405304,-0.0018987547548717269,0.0021564077086881238,0.0020473983387092345
equal_kw_reduction,0.2,2.0,60,1.1266666666666665,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,0.0005012945735673623,0.0015549338059540423,0.00300795400102106,-0.0014530201950670118,0.0014530201950670118,0.00052681961619334
