Behavior,Control,Seed,Date,Contiguous block,Authorization (MWh),Delivery (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals,Failed observed intervals,Failed replay intervals
No preference update,ECF,2003,2013-01-02,1,4.349934204691605,3.711919757519879,0.638014447171727,-1.1278293285782812,5,0,0
No preference update,Same update without qualification,2003,2013-01-02,1,4.17878838493832,3.637594342120635,0.5411940428176854,-1.2013142325278978,0,0,0
No preference update,Equal-total shadow,2003,2013-01-02,1,4.323511936639396,3.7027868371116277,0.6207250995277687,-1.1368541340678893,0,0,0
No preference update,No feedback,2003,2013-01-03,1,4.015370667941752,3.727526300768431,0.2878443671733209,-0.7503803737880357,0,0,0
No preference update,ECF,2003,2013-01-03,1,4.067413501900408,3.797165390965725,0.2702481109346832,-0.6814942890395533,11,0,0
No preference update,Same update without qualification,2003,2013-01-03,1,3.993248684359904,3.7720485329663624,0.22120015139354168,-0.706010231864636,0,0,0
No preference update,Equal-total shadow,2003,2013-01-03,1,4.015393652170162,3.7275488785932462,0.2878447735769155,-0.7503580391155472,0,0,0
No preference update,No feedback,2003,2013-01-04,1,4.310156327829676,4.005070835009131,0.3050854928205458,-1.0962832597654266,0,0,0
No preference update,ECF,2003,2013-01-04,1,4.300873623755316,4.002675676284873,0.2981979474704424,-1.0986568622637025,10,0,0
No preference update,Same update without qualification,2003,2013-01-04,1,4.195775104074163,3.955639997601294,0.24013510647286967,-1.1451765590541159,0,0,0
No preference update,Equal-total shadow,2003,2013-01-04,1,4.310166291458981,4.005080665971505,0.3050856254874765,-1.0962735317819887,0,0,0
No preference update,No feedback,2003,2013-01-05,1,4.187568337739989,4.0390523050883465,0.14851603265164134,-2.085136545537265,0,0,0
No preference update,ECF,2003,2013-01-05,1,4.189314813499204,4.0432474787591755,0.14606733474002942,-2.0809623634465617,10,0,0
No preference update,Same update without qualification,2003,2013-01-05,1,4.166932309509817,4.034873809990007,0.13205849951981063,-2.0893795391007655,0,0,0
No preference update,Equal-total shadow,2003,2013-01-05,1,4.187605468319621,4.0390887928588945,0.14851667546072642,-2.085100450019668,0,0,0
No preference update,No feedback,2003,2013-01-06,1,4.623527631748475,4.430934605678893,0.19259302606958084,-1.5426675629537931,0,0,0
No preference update,ECF,2003,2013-01-06,1,4.620049244070668,4.432516019317366,0.1875332247533023,-1.541176161523913,13,0,0
No preference update,Same update without qualification,2003,2013-01-06,1,4.6019432291327815,4.426899523236527,0.1750437058962546,-1.5468709747272322,0,0,0
No preference update,Equal-total shadow,2003,2013-01-06,1,4.6235405419117015,4.430947158884519,0.1925933830271828,-1.542655165615697,0,0,0
No preference update,No feedback,2003,2013-01-07,1,4.251568398410298,3.9220130791683188,0.3295553192419795,-1.5158936621719314,0,0,0
No preference update,ECF,2003,2013-01-07,1,4.2302343956081145,3.934920807737139,0.29531358787097634,-1.5030954107721215,10,0,0
No preference update,Same update without qualification,2003,2013-01-07,1,4.130026120362531,3.912672322583311,0.21735379777921962,-1.525046255455452,0,0,0
No preference update,Equal-total shadow,2003,2013-01-07,1,4.251557393634814,3.921999473837336,0.3295579197974774,-1.515907118204338,0,0,0
No preference update,No feedback,2003,2013-01-08,1,3.90999015525521,3.596624901543445,0.3133652537117648,-6.498071873557354,0,0,0
