Setting,Date,Control,Delivery (MWh),Authorization (MWh),Unused authorization (MWh),Source exchange (MWh),Qualifying intervals
PV125,2013-06-23,Previous-day persistence,1.376414174078597,1.9148857201485865,0.5384715460699898,-7.918020650596506,0
PV125,2013-06-24,ECF,2.603313094477129,4.386600304419353,1.7832872099422248,-5.758487709434194,4
PV125,2013-06-24,Equal-total control,2.5842082043975347,4.374422969360499,1.7902147649629643,-5.7772934806142695,0
PV125,2013-06-24,No feedback,2.5842231469352126,4.374439713952709,1.7902165670174968,-5.777278735497378,0
PV125,2013-06-24,Previous-day persistence,1.7170467709503763,1.9622184064947459,0.24517163554436971,-6.640188968007081,0
PV125,2013-06-25,ECF,2.2861718718008146,4.057174471403471,1.7710025996026562,-6.3682260928103585,4
PV125,2013-06-25,Equal-total control,2.2884880375262053,4.070404237811499,1.7819162002852935,-6.36587964435176,0
PV125,2013-06-25,No feedback,2.288469176405174,4.070378237531536,1.781909061126361,-6.365898276920304,0
PV125,2013-06-25,Previous-day persistence,1.7335152257692177,1.943699180676496,0.21018395490727854,-6.91826298080992,0
PV125,2013-06-26,ECF,2.475831577596553,3.986606351108478,1.5107747735119248,-5.083749422073284,3
PV125,2013-06-26,Equal-total control,2.478715970480274,3.992289189110231,1.5135732186299564,-5.080910543827724,0
PV125,2013-06-26,No feedback,2.4787306783242444,3.992305456708812,1.5135747783845677,-5.080895993526916,0
PV125,2013-06-26,Previous-day persistence,1.5200902029621748,1.7628083701795196,0.24271816721734496,-6.034724455216514,0
PV125,2013-06-27,ECF,2.12350030912462,3.936425812520829,1.8129255033962086,-5.439237254975493,1
PV125,2013-06-27,Equal-total control,2.12350030912462,3.936425812520829,1.8129255033962086,-5.439237254976699,0
PV125,2013-06-27,No feedback,2.12350030912462,3.936425812520829,1.8129255033962086,-5.439237254976859,0
PV125,2013-06-27,Previous-day persistence,1.6929740413648047,2.1717873695316094,0.4788133281668048,-5.867840149142452,0
PV150,2013-01-02,ECF,3.9458826032260843,4.494544098440989,0.5486614952149045,-0.8635234802437327,8
PV150,2013-01-02,Equal-total control,3.945777768370844,4.499696254853364,0.5539184864825205,-0.8636272478742337,0
PV150,2013-01-02,No feedback,3.945799614779451,4.499718642989526,0.5539190282100754,-0.8636055935112228,0
PV150,2013-01-02,Previous-day persistence,3.5405988738097958,3.965015838287229,0.42441696447743293,-1.2653067092831873,0
PV150,2013-01-03,ECF,4.326038585042495,4.58756831139026,0.2615297263477655,-0.1369302666077275,10
PV150,2013-01-03,Equal-total control,4.326114529752468,4.600266902008776,0.2741523722563076,-0.13686649417231525,0
PV150,2013-01-03,No feedback,4.3260704569692106,4.600222721075086,0.2741522641058747,-0.13690996561731505,0
PV150,2013-01-03,Previous-day persistence,3.498704733234151,3.64514714588022,0.14644241264606872,-0.9587883244299648,0
PV150,2013-01-04,ECF,4.365621030582348,4.61514151173639,0.24952048115404127,-0.7139286524276723,11
PV150,2013-01-04,Equal-total control,4.365925622601967,4.6217991859088166,0.2558735633068508,-0.7136301725209816,0
PV150,2013-01-04,No feedback,4.365914859093745,4.621788198505974,0.25587333941222884,-0.7136407603398023,0
PV150,2013-01-04,Previous-day persistence,3.7674236083018044,3.9104542718934394,0.14303066359163535,-1.3062550904535788,0
PV150,2013-01-05,ECF,4.478974090562541,4.624217598464249,0.1452435079017082,-1.617227926997108,9
PV150,2013-01-05,Equal-total control,4.478867814123932,4.629494675946024,0.15062686182209334,-1.6173332116335581,0
PV150,2013-01-05,No feedback,4.478869277257557,4.629496153241259,0.1506268759837024,-1.6173317181004896,0
PV150,2013-01-05,Previous-day persistence,3.9304542553237116,3.963905236161132,0.03345098083741971,-2.161325322517387,0
PV150,2013-01-06,ECF,4.623586283385707,4.752507960060979,0.12892167667526994,-1.319032206351936,11
PV150,2013-01-06,Equal-total control,4.623471110593632,4.7596940168001405,0.1362229062065087,-1.319146107440755,0
PV150,2013-01-06,No feedback,4.6234593142517095,4.75968209306733,0.13622277881561948,-1.3191577561686134,0
PV150,2013-01-06,Previous-day persistence,4.027689690345175,4.052925824810217,0.02523613446504174,-1.9100801773755105,0
PV150,2013-01-07,ECF,4.284973378909715,4.5310398159635925,0.24606643705387815,-1.1261415637162995,12
PV150,2013-01-07,Equal-total control,4.289102035711067,4.5494543514245755,0.26035231571350925,-1.1220934314309818,0
PV150,2013-01-07,No feedback,4.289080539845982,4.549432123447984,0.2603515836020015,-1.1221146151397208,0
PV150,2013-01-07,Previous-day persistence,3.772960176869109,3.927607627437485,0.1546474505683759,-1.634206225540028,0
PV150,2013-01-08,ECF,3.8752363941738333,4.132198796429735,0.25696240225590217,-6.136082164585632,8
PV150,2013-01-08,Equal-total control,3.876224573371871,4.136405745468724,0.2601811720968529,-6.135103750133761,0
PV150,2013-01-08,No feedback,3.8762099481253047,4.136391307660247,0.2601813595349428,-6.135118273091821,0
PV150,2013-01-08,Previous-day persistence,3.188062116890382,3.3390182958194887,0.150956178929106,-6.8189486714555825,0
PV150,2013-01-12,ECF,4.168508565517291,4.5009284717308855,0.33241990621359424,-2.8522223423271273,6
PV150,2013-01-12,Equal-total control,4.174395862908225,4.50918460093302,0.3347887380247934,-2.8463162753518487,0
