Setting,Comparator,Total difference (MWh),Mean daily difference (MWh),95% lower (MWh/day),95% upper (MWh/day),Negative error (MWh/day),Positive error (MWh/day),Positive days,Negative days,Zero days
R05_POS_POINT,NO_FEEDBACK,1.5685459615323125,0.019606824519153906,0.007607523477795431,0.03160612556051238,0.011999301041358474,0.011999301041358473,47,29,4
R05_POS_POINT,ORIGINAL_EXACT_ECF,0.17631205927748994,0.002203900740968624,-0.000017552265117425494,0.004425353747054673,0.0022214530060860496,0.002221453006086049,14,5,61
R05_POS_LOWER_BOUND,NO_FEEDBACK,1.3922339022548216,0.01740292377818527,0.004878288848181601,0.02992755870818894,0.01252463493000367,0.012524634930003671,44,32,4
R05_POS_LOWER_BOUND,ORIGINAL_EXACT_ECF,-9.992007221626409e-16,-1.2490009027033011e-17,-5.2049027376588146e-17,2.70690093225221e-17,3.9559018349555136e-17,3.955901834955511e-17,0,0,80
R05_POS_LOWER_BOUND,POINT_SAME_ERROR,-0.17631205927749094,-0.0022039007409686367,-0.004425353747054723,0.000017552265117449035,0.002221453006086086,0.0022214530060860856,5,14,61
R10_NEG_POINT,NO_FEEDBACK,1.2148103357426694,0.015185129196783368,0.004654077830420185,0.02571618056314655,0.010531051366363182,0.01053105136636318,39,24,17
R10_NEG_POINT,ORIGINAL_EXACT_ECF,-0.17742356651215319,-0.002217794581401915,-0.007337724153431449,0.002902134990627617,0.0051199295720295345,0.005119929572029532,28,30,22
R10_NEG_LOWER_BOUND,NO_FEEDBACK,0.9456858343381405,0.011821072929226756,0.002253614923550859,0.021388530934902655,0.009567458005675898,0.009567458005675898,37,20,23
R10_NEG_LOWER_BOUND,ORIGINAL_EXACT_ECF,-0.4465480679166821,-0.005581850848958526,-0.011955575865353242,0.0007918741674361889,0.006373725016394716,0.006373725016394715,29,36,15
R10_NEG_LOWER_BOUND,POINT_SAME_ERROR,-0.2691245014045289,-0.0033640562675566117,-0.006390474811626838,-0.0003376377234863872,0.0030264185440702263,0.0030264185440702245,11,19,50
R10_POS_POINT,NO_FEEDBACK,1.5818423997106168,0.01977302999638271,0.007788242918572798,0.03175781707419262,0.011984787077809912,0.011984787077809908,47,29,4
R10_POS_POINT,ORIGINAL_EXACT_ECF,0.18960849745579422,0.002370106218197428,-0.00002812957721407522,0.00476834201360893,0.002398235795411503,0.002398235795411502,14,6,60
R10_POS_LOWER_BOUND,NO_FEEDBACK,1.3922339022548216,0.01740292377818527,0.004878288848181601,0.02992755870818894,0.01252463493000367,0.012524634930003671,44,32,4
R10_POS_LOWER_BOUND,ORIGINAL_EXACT_ECF,-9.992007221626409e-16,-1.2490009027033011e-17,-5.2049027376588146e-17,2.70690093225221e-17,3.9559018349555136e-17,3.955901834955511e-17,0,0,80
R10_POS_LOWER_BOUND,POINT_SAME_ERROR,-0.18960849745579522,-0.0023701062181974404,-0.004768342013608961,0.000028129577214079534,0.002398235795411521,0.00239823579541152,6,14,60
