Setting,Date,Delivery (MWh),Authorization (MWh),Unused authorization (MWh)
R05_NEG_LOWER_BOUND,2013-01-18,3.913198402357058,4.464466213997971,0.5512678116409133
R05_NEG_LOWER_BOUND,2013-01-19,3.32746690385322,4.296040425089043,0.9685735212358226
R05_NEG_LOWER_BOUND,2013-01-20,2.661563439857884,4.144536654386213,1.4829732145283292
R05_NEG_LOWER_BOUND,2013-01-21,4.147888621815627,4.474463452481689,0.3265748306660621
R05_NEG_LOWER_BOUND,2013-01-22,3.0756833415406937,3.7379368634833,0.6622535219426062
R05_NEG_LOWER_BOUND,2013-01-23,3.5855717839639,4.456189824757586,0.8706180407936861
R05_NEG_LOWER_BOUND,2013-01-24,4.150362227622875,4.616963882415617,0.4666016547927425
R05_NEG_LOWER_BOUND,2013-01-25,3.9776315161786124,4.234108120382267,0.25647660420365437
R05_NEG_LOWER_BOUND,2013-04-02,3.355827515648575,3.910936645604844,0.5551091299562692
R05_NEG_LOWER_BOUND,2013-04-03,2.08463000475642,3.9789539423285083,1.8943239375720884
R05_NEG_LOWER_BOUND,2013-04-04,2.9474115830635217,4.289508129652529,1.3420965465890076
R05_NEG_LOWER_BOUND,2013-04-09,3.008275140879595,4.062854837421137,1.0545796965415417
R05_NEG_LOWER_BOUND,2013-04-10,3.8216965282751847,4.480387611006782,0.6586910827315977
R05_NEG_LOWER_BOUND,2013-04-14,3.4071875431884706,4.044738783827964,0.6375512406394934
R05_NEG_LOWER_BOUND,2013-04-15,3.3020242356364338,4.096338582719775,0.7943143470833411
R05_NEG_LOWER_BOUND,2013-04-22,2.9186421274158643,4.133985909522359,1.2153437821064945
R05_NEG_LOWER_BOUND,2013-04-28,3.1774090245621434,3.9016119150029835,0.7242028904408402
R05_NEG_LOWER_BOUND,2013-04-29,3.2238942812195353,3.9853445814724635,0.7614503002529283
R05_NEG_LOWER_BOUND,2013-04-30,2.8086234228488602,3.942086088471595,1.133462665622735
R05_NEG_LOWER_BOUND,2013-05-01,3.146636754637871,4.230436588263584,1.0837998336257129
R05_NEG_LOWER_BOUND,2013-05-06,3.0072618985709143,3.8128300071120687,0.8055681085411543
R05_NEG_LOWER_BOUND,2013-05-07,2.8976325226644652,3.9333657577415466,1.0357332350770814
R05_NEG_LOWER_BOUND,2013-05-08,3.069613294786753,4.1617968696506225,1.0921835748638693
R05_NEG_LOWER_BOUND,2013-05-09,3.1084792565059414,4.09558898845983,0.9871097319538884
R05_NEG_LOWER_BOUND,2013-05-10,3.0073908215361853,3.878842338047078,0.8714515165108927
R05_NEG_LOWER_BOUND,2013-05-11,2.746983186133895,4.226309848212396,1.4793266620785008
R05_NEG_LOWER_BOUND,2013-05-12,3.4220652916315797,4.6323938021723965,1.2103285105408168
R05_NEG_LOWER_BOUND,2013-05-16,2.995882884476934,4.0198753109036724,1.0239924264267386
R05_NEG_LOWER_BOUND,2013-05-17,2.9405944840812612,3.8699851021874214,0.9293906181061602
R05_NEG_LOWER_BOUND,2013-05-18,2.9271341553348544,3.849922403597369,0.9227882482625147
R05_NEG_LOWER_BOUND,2013-05-19,2.891552824692647,3.8451654478603214,0.9536126231676745
R05_NEG_LOWER_BOUND,2013-05-20,2.810609263625845,3.7510927039501376,0.9404834403242925
R05_NEG_LOWER_BOUND,2013-05-21,2.8238063241157314,3.86456265406109,1.0407563299453586
R05_NEG_LOWER_BOUND,2013-05-22,1.9853271732718611,3.895581290667341,1.9102541173954797
R05_NEG_LOWER_BOUND,2013-05-23,1.7374443011983087,4.180854699557982,2.4434103983596733
R05_NEG_LOWER_BOUND,2013-05-24,2.9149831318726442,4.3707662017743045,1.4557830699016603
R05_NEG_LOWER_BOUND,2013-05-25,2.712366053459953,3.918617082443556,1.206251028983603
R05_NEG_LOWER_BOUND,2013-05-26,2.8253141077086887,3.864575976798144,1.0392618690894553
R05_NEG_LOWER_BOUND,2013-05-27,2.3326832446455597,3.946696433251934,1.6140131886063744
R05_NEG_LOWER_BOUND,2013-05-28,2.689893999868436,4.45909447134681,1.7692004714783738
R05_NEG_LOWER_BOUND,2013-05-29,2.952627034764588,4.368078280375306,1.4154512456107176
R05_NEG_LOWER_BOUND,2013-05-30,3.251143535611915,4.291975151909222,1.0408316162973068
R05_NEG_LOWER_BOUND,2013-05-31,2.776775418826919,3.889830110763112,1.1130546919361928
R05_NEG_LOWER_BOUND,2013-06-01,2.1916669744058472,3.7281515167488783,1.5364845423430311
R05_NEG_LOWER_BOUND,2013-06-02,0.791722526656527,4.110761421811889,3.3190388951553618
R05_NEG_LOWER_BOUND,2013-06-03,2.894415855197277,4.211013461430853,1.316597606233576
R05_NEG_LOWER_BOUND,2013-06-04,2.537974524357485,3.687664945508206,1.1496904211507206
R05_NEG_LOWER_BOUND,2013-06-05,2.3642966338944786,3.740065420059459,1.3757687861649806
R05_NEG_LOWER_BOUND,2013-06-06,2.382900480559051,4.170681597920328,1.7877811173612774
R05_NEG_LOWER_BOUND,2013-06-07,2.169145375450785,4.261950630564428,2.092805255113643
R05_NEG_LOWER_BOUND,2013-06-08,2.2829452921074336,4.145145219553972,1.8621999274465382
R05_NEG_LOWER_BOUND,2013-06-09,2.9262321842990895,4.150272709517333,1.2240405252182436
R05_NEG_LOWER_BOUND,2013-06-10,2.6598268016435567,4.257225724531045,1.5973989228874883
R05_NEG_LOWER_BOUND,2013-06-11,2.8842214772448798,4.044172539460919,1.1599510622160394
R05_NEG_LOWER_BOUND,2013-06-12,1.433302428654323,4.00227490818619,2.568972479531867
R05_NEG_LOWER_BOUND,2013-06-13,2.8813364012863882,4.261013777008921,1.3796773757225331
R05_NEG_LOWER_BOUND,2013-06-14,2.5990971136341745,3.700715453846333,1.1016183402121587
R05_NEG_LOWER_BOUND,2013-06-15,2.3278104135885354,3.8823606967732727,1.5545502831847373
R05_NEG_LOWER_BOUND,2013-06-16,2.772849905048478,4.011100643973266,1.2382507389247879
R05_NEG_LOWER_BOUND,2013-06-17,2.508081495508826,3.720488350942398,1.2124068554335716
R05_NEG_LOWER_BOUND,2013-06-18,2.8333689781478815,4.036336966354614,1.2029679882067321
R05_NEG_LOWER_BOUND,2013-06-19,2.6417882680349134,3.9817705433200246,1.3399822752851112
R05_NEG_LOWER_BOUND,2013-06-23,1.6456384901372192,3.548132515969309,1.9024940258320897
R05_NEG_LOWER_BOUND,2013-06-24,2.443961568664025,4.30079167038098,1.8568301017169553
R05_NEG_LOWER_BOUND,2013-06-25,2.12152402804281,3.951036695875785,1.8295126678329754
R05_NEG_LOWER_BOUND,2013-06-26,2.3267426526734583,3.917134933275353,1.5903922806018946
R05_NEG_LOWER_BOUND,2013-06-27,1.9318606808793433,3.86930007084802,1.9374393899686766
R05_POS_POINT,2013-01-02,3.719382752780721,4.416125772483651,0.6967430197029305
R05_POS_POINT,2013-01-03,4.117008309302434,4.423659561283494,0.30665125198106047
R05_POS_POINT,2013-01-04,4.205292280387266,4.473143992180298,0.2678517117930319
R05_POS_POINT,2013-01-05,4.344325675551028,4.505877953838943,0.16155227828791485
R05_POS_POINT,2013-01-06,4.468393305207172,4.624492454354442,0.15609914914726986
R05_POS_POINT,2013-01-07,4.131671679158757,4.427471925593407,0.2958002464346503
R05_POS_POINT,2013-01-08,3.6985092936952992,4.023300969795377,0.324791676100078
R05_POS_POINT,2013-01-12,3.8590138230321074,4.343967040553272,0.4849532175211646
R05_POS_POINT,2013-01-13,2.8834647022959157,4.302618562532008,1.4191538602360927
R05_POS_POINT,2013-01-14,3.8773762341541924,4.52624651049095,0.648870276336758
R05_POS_POINT,2013-01-15,4.142851116877055,4.366733038011843,0.22388192113478844
R05_POS_POINT,2013-01-16,4.11276889768482,4.414996058418229,0.30222716073340905
R05_POS_POINT,2013-01-17,4.235812319450715,4.619645466795627,0.38383314734491236
R05_POS_POINT,2013-01-18,3.9129916259406667,4.461458670274538,0.5484670443338708
R05_POS_POINT,2013-01-19,3.363141943147914,4.318028214024782,0.9548862708768677
R05_POS_POINT,2013-01-20,2.6504788650969227,3.9223083019375413,1.2718294368406187
R05_POS_POINT,2013-01-21,4.153372556448698,4.478404605012333,0.3250320485636351
R05_POS_POINT,2013-01-22,3.0888440124197474,3.8730402440946543,0.7841962316749069
R05_POS_POINT,2013-01-23,3.5176325953102134,4.239567600796005,0.7219350054857916
R05_POS_POINT,2013-01-24,4.167295044691503,4.628029241795328,0.46073419710382524
R05_POS_POINT,2013-01-25,3.970718729771477,4.22489655098696,0.25417782121548305
